           1  -99946.473080965094      -0.46897997593487217           -88271
           2  -97421.818538317209      -0.43028608627737519           -44193
           3  -93795.995186974425      -0.35061370974798400           -28273
           4  -83035.986632579035      -0.31971391372262487           -20031
           5  -76635.078230753570      -0.28102002406512783           -15979
           6  -66964.013367420965      -0.22870911344375430           -12970
           7  -58516.354622498278      -0.18341230442311607           -10725
           8  -50480.367989919236      -0.16741003341855243            -8825
           9  -43028.608627737514      -0.14629088655624570            -6415
          10  -36682.460884623215      -0.11724499398371804            -5443
          11  -31971.391372262482       -9.5793847788441966E-002       -4633
          12  -27106.629846218184       -7.6388430218137432E-002       -3953
          13  -22870.911344375432       -6.0888636586448254E-002       -3464
          14  -19158.769557688393       -5.3785760784671899E-002       -2649
          15  -16741.003341855241       -4.5853076105779017E-002       -2269
          16  -14629.088655624570       -3.9964239215328108E-002       -1950
          17  -11111.156978186256       -3.5127503008140978E-002       -1449
          18  -9579.3847788441963       -2.6892880392335949E-002       -1241
          19  -8370.5016709276206       -2.0926254177319054E-002       -1059
          20  -7025.5006016281959       -1.6941643653886364E-002        -897
          21  -6167.0783273361021       -1.4655624247964755E-002        -785
          22  -5189.7491645361897       -1.2974372911340475E-002        -577
          23  -4185.2508354638103       -9.9910598038320270E-003        -494
          24  -3512.7503008140980       -8.0198041816597447E-003        -424
          25  -2931.1248495929508       -7.1471597951173220E-003        -359
          26  -2496.1643140751003       -6.4871864556702375E-003        -313
          27  -2092.6254177319051       -5.2315635443297634E-003        -234
          28  -1756.3751504070490       -4.1076704266939683E-003        -202
          29  -1465.5624247964754       -3.4722365556832053E-003        -167
          30  -1095.6678429624499       -2.8658172566111886E-003        -142
          31  -914.31804097653560       -2.3871384443167947E-003        -121
          32  -780.83182094503979       -1.9272119772925321E-003        -104
          33  -672.32200980839866       -1.5601026962969377E-003         -89
          34  -573.16345132223773       -1.3695848037030625E-003         -76
          35  -477.42768886335892       -1.2488824754790034E-003         -65
          36  -400.99020908298712       -9.8594468730311014E-004         -56
          37  -336.16100490419933       -8.1089830695877968E-004         -48
          38  -286.58172566111887       -6.8479240185153126E-004         -41
          39  -238.71384443167946       -5.7144877561033475E-004         -35
          40  -194.37428126968899       -4.8180299432313303E-004         -26
          41  -168.08050245209967       -4.0544915347938984E-004         -22
          42  -143.29086283055943       -3.4239620092576563E-004         -19
          43  -109.77344690044056       -2.8572438780516738E-004         -16
          44  -93.541738581605117       -2.4296785158711123E-004         -14
          45  -81.089830695877964       -2.0272457673969492E-004         -12
          46  -59.678461107919865       -1.4919615276979967E-004         -10
          47  -51.345880333674600       -1.1167437179870816E-004          -9
          48  -43.402956946040064       -8.5599050231441407E-005          -8
          49  -34.239620092576558       -6.2654720169216756E-005          -7
          50  -24.648617182577752       -4.6774339740450179E-005          -6
          51  -18.709735896180071       -3.4304202156387674E-005          -5
          52  -13.235659104598723       -2.2007578891281148E-005          -4
          53  -10.505031403256229       -1.0354012065076273E-005          -3
          54  -7.8055154717437700       -3.7866240313876759E-006          -2
          55  -4.2799525115720698       -1.5735970835466270E-006          -1
          56  -1.9513788679359425       -3.2670238668770156E-008           0
          57   1.6335119334385077E-003   3.2670238668770156E-008           1
          58   1.7857774237822961        3.7866240313876759E-006           2
          59   4.2799525115720698        1.0354012065076273E-005           3
          60   8.5599050231441396        2.2007578891281148E-005           4
          61   13.721680862555070        3.4304202156387674E-005           5
          62   18.709735896180071        4.6774339740450179E-005           6
          63   24.090149716156652        6.1621542956444384E-005           7
          64   31.222061886975084        8.1743180380152553E-005           8
          65   43.402956946040064        1.0850739236510016E-004           9
          66   50.123776135373397        1.4286219390258369E-004          11
          67   59.678461107919873        1.9501283703711721E-004          13
          68   78.005134814846883        2.3385434645401278E-004          15
          69   91.597651549779727        2.7443361725110139E-004          18
          70   105.88527283678978        3.2697272152061021E-004          21
          71   143.29086283055943        3.9002567407423443E-004          25
          72   168.08050245209967        4.5798825774889861E-004          30
          73   200.49510454149359        5.4886723450220279E-004          35
          74   238.71384443167949        6.5394544304122042E-004          41
          75   286.58172566111887        7.8005134814846885E-004          48
          76   336.16100490419933        9.3541738581605111E-004          56
          77   400.99020908298718        1.1935692221583974E-003          66
          78   477.42768886335898        1.4967788716944057E-003          78
          79   573.16345132223773        1.8319530309955944E-003          89
          80   672.32200980839866        2.1954689380088111E-003         122
          81   801.98041816597436        2.6157817721648817E-003         143
          82   954.85537772671796        3.2435932278351187E-003         168
          83   1146.3269026444755        3.8874856253937797E-003         201
          84   1541.7695818340258        4.7742768886335895E-003         234
          85   1828.6360819530712        5.7316345132223771E-003         313
          86   2092.6254177319051        6.4871864556702375E-003         360
          87   2496.1643140751003        7.3278121239823777E-003         424
          88   2858.8639180469290        9.1431804097653561E-003         493
          89   3512.7503008140980        1.0463127088659527E-002         574
          90   4185.2508354638103        1.1974230973555246E-002         774
          91   4992.3286281502005        1.5222159146612063E-002         891
          92   5862.2496991859025        1.8286360819530712E-002        1060
          93   7025.5006016281959        2.0926254177319054E-002        1238
          94   8370.5016709276206        2.7777892445465642E-002        1447
          95   11111.156978186256        3.1550229993699525E-002        1688
          96   12831.686690655590        3.6572721639061424E-002        1939
          97   14629.088655624570        4.7896923894220983E-002        2291
          98   19158.769557688393        5.5555784890931284E-002        2682
          99   22870.911344375432        6.3100459987399049E-002        3456
         100   27106.629846218184        7.3145443278122849E-002        4006
         101   31971.391372262486        8.3705016709276214E-002        4592
         102   36682.460884623215       0.10757152156934380             6031
         103   43028.608627737514       0.12177727317289651             7052
         104   50480.367989919236       0.14051001203256391             8375
